title,author,categories,description,language,pageCount,averageRating,ratingsCount,publisher,publishedDate
Flaubert's Parrot,Julian Barnes,Fiction,"BOOKER PRIZE NOMINEE • From the internationally bestselling author of The Sense of an Ending comes a literary detective story of a retired doctor obsessed with the 19th century French author Flaubert—and with tracking down the stuffed parrot that once inspired him. • “A high literary entertainment carried off with great brio.” —The New York Times Book Review Julian Barnes playfully combines a detective story with a character study of its detective, embedded in a brilliant riff on literary genius. A compelling weave of fiction and imaginatively ordered fact, Flaubert's Parrot is by turns moving and entertaining, witty and scholarly, and a tour de force of seductive originality.",en,209,,,Vintage,2011-06-15
Money: A Suicide Note,Martin Amis,Fiction,"The story of John Self and his insatiable appetite for money, alcohol, drugs, porn and more. Ceaselessly inventive and thrillingly savage, it is a tale of life lived without restraint; of money and the disasters it can precipitate. ""From the Trade Paperback edition.""",en,376,3,3,Jonathan Cape,1984
Shame,Salman Rushdie,Fiction,"*German Booksellers' Peace Prize 2023* Una tragedia representada por payasos, actores que no dan la talla, y ambientada en un país ligeramente segado de la realidad. Vergüenza es una tragedia, en palabras del autor, «representada por payasos», y ambientada en un país «ligeramente sesgado de la realidad», Peccavistán, donde la vergüenza y la desvergüenza se abaten una y otra vez sobre sus protagonistas: Omar Khayyam, hijo de tres madres; Bilquis, que se queda desnuda en plena calle; el general Hyder, con ojeras como gafas de sol; Iskander Harappa, un dictador a quien ahorcan después de muerto; Buenas Noticias Hyder, condenada a parir hijos cada año en progresión aritmética; y la heroína de la novela, Sufiya Zenobia, la bella y la bestia en una sola persona# La crítica ha dicho... «Puede disfrutarse más si la vemos no como una novela, sino como una de aquellas obras inclasificables que ciertos escritores del siglo xviii acometieron: Los viajes de Gulliver, de Swift; Cándido, de Voltaire; Tristram Shandy, de Sterne# Salman Rushdie es un tardío miembro de este grupo.» New York Times Book Review",es,321,,,DEBOLS!LLO,2010-12-03
Worstward Ho,Samuel Beckett,Creation,,en,47,,,Calder Publications Limited,1983
Fools of Fortune,William Trevor,Arson,"Novela finalista del Premio Booker en 2002, La historia de Lucy Gault es la última obra publicada por William Trevor, considerado uno de los mejores narradores irlandeses vivos. Fascinado por el influjo que la Historia ejerce en el destino de los individuos, Trevor ha dado voz a las víctimas y los marginados, procurando reflejar los mundos alternativos en que estas personas se recluyen para protegerse de una realidad que se niega a satisfacer sus deseos más íntimos. Ese universo de aislamiento personal, en el contexto de una comunidad que se desintegra, es el distintivo de un autor al que se ha comparado nada menos que con su compatriota James Joyce. En el condado de Cork, en la costa sureste de Irlanda, el capitán Gault, su esposa Heloise y su hija Lucy, de nueve años, sufren el rechazo de sus vecinos por su supuesta simpatía con el enemigo inglés. Ante la creciente animadversión local, los Gault deciden marcharse a Inglaterra, pero poco antes de su partida la pequeña Lucy desaparece, y los únicos rastros hallados parecen indicar que la niña se ha ahogado. Abrumados por el dolor, los Gault inician un largo peregrinaje por media Europa con el firme propósito de cortar los lazos con la tierra donde se fraguó su desgracia, ignorantes de que están dando pie a una tragedia humana aún mayor, que convertirá a Lucy en una leyenda entre los habitantes de la zona.",es,0,,,Salamandra,2004-04-23
La Brava,E. Leonard,Art,,es,84,,,ATS Italia Editrice,2009
Waterland,Graham Swift,Fiction,,es,302,,,,1998-01
Life and Times of Michal K,J. M. Coetzee,Gardeners,,es,187,,,Debolsillo,2006
The Diaries of Jane Somers,Doris Lessing,Fiction,"The diaries introduce us to Jane, an intelligent and beautiful magazine editor concerned with success, clothes and comfort. After her husband, then her mother, die from cancer she befriends ninety-something Maudie, whose poverty and squalor contrast with her own life.",en,520,,,,1984
The Piano Teacher,Elfriede Jelinek,Fiction,"From the Nobel Prize-winning Austrian author: a “brilliant, uncompromising” novel that “gets behind the cream-puff prettiness of Vienna” (Publishers Weekly). In The Piano Teacher, Elfride Jelinek creates a shocking portrait of a talented, capable woman fashioned by society into a ticking bomb. Set in 1980s Vienna, it describes a culture rotting under the weight of its oppressive, outmoded ideals—a place mirrored by the heroine’s own repressed dreams. Erika Kohut, piano teacher at the prestigious Vienna Conservatory, is a quiet woman devoted to Bach, Beethoven, and her domineering mother. Her life consists of desperate boredom, neurotic possessiveness, and hopeless dreams of a concert career whose hour has long passed. Enter Walter Klemmer—a handsome, arrogant man out to conquer Erika’s affections. Suddenly the dangerous passions roiling under her subdued exterior explode in a release of sexual perversity and long-buried violence. Awarded the Nobel and the Heinrich Boll Prize for her outstanding contribution to German letters, Elfriede Jelinek is one of the most original and controversial writers in Austria today. The Piano Teacher was made into an acclaimed film by Michael Haneke in 2001.",en,296,,,"Grove/Atlantic, Inc.",2009-10-13
The Sorrow of Belgium,Hugo Claus,Fiction,"A classic novel in the tradition of The Tin Drum, The Sorrow of Belgium is a searing, scathingly funny portrait of a wartime Belgium and one boy's coming of age -- emotionally, sexually, and politically. In 1939, Louis Seynaeve, a ten-year-old Flemish student, is chiefly occupled with schoolboy adventures and lurid adolescent fantasies. Then the Nazis invade Belgium, and he grows up fast. Bewildered by his family -- a stuffy father who actually welcomes the occupation and a flirtatious mother who works for (and plays with) the Germans -- he is seemingly at the center of so much he can't understand. Gradually, as he confronts the horrors of the war and its aftermath, the eccentric and often petty behavior of his colorful relatives and neighbors, and his own inner turmoil, he achieves a degree of maturity -- at the cost of deep disillusion. Epic in scope, by turns hilarious and elegiac, The Sorrow of Belgium is the masterwork by one of the world's greatest contemporary authors. Book jacket.",en,632,,,Pantheon,1990
"If Not Now, When?",Primo Levi,Biography & Autobiography,"En las postrimerías de la Segunda Guerra Mundial, durante el verano de 1945, llegó a Italia una riada de refugiados y supervivientes de la persecución nazi, entre los que se encontraban grupos de partisanos judíos procedentes del este de Europa. Sobre este hecho real, Si ahora no, ¿cuándo? construye la apasionante historia de una banda de partisanos que emprende una larga marcha con la firme voluntad de salvarse. Acosados por la muerte y haciendo frente a la incertidumbre, el hambre y el frío; unidos, en ocasiones, a otros resistentes y participando en sabotajes, los protagonistas de esta novela épica atraviesan Polonia y Alemania con la esperanza de alcanzar una nueva tierra prometida. «En la partisanka, cada día era una aventura distinta; en la estepa helada, en la nieve y el barro, habían hallado una libertad nueva, desconocida para sus padres y abuelos, un contacto con hombres amigos y enemigos, con la naturaleza y la acción. Y eso les intoxicaba como el vino de Purim».",es,345,,,Grupo Planeta Spain,2013-07-26
A Boy's Own Story,Edmund White,Gay men,,es,289,,,,1995
The Color Purple,Alice Walker,,"Esta es la historia de dos hermanas: Nettie, que ejerce como misionera en África, y Celie, que vive en el Sur de Estados Unidos, casada con un hombre al que odia y abrumada por la vergüenza de haber sido violada por quien cree que es su padre. A lo largo de treinta años ambas mantienen el recuerdo y la esperanza de reencontrarse y vuelcan sus sentimientos en unas cartas conmovedoras poniendo el foco en las vivencias familiares y en las duras injusticias cotidianas. Alice Walker traza en esta ya clásica historia, narrada en formato epistolar, un crudo y sin embargo bello relato del abuso hacia las mujeres y la comunidad afroamericana en los Estados Unidos de la primera mitad del siglo XX. Tomado de la contracubierta del libro.",es,0,,,,2024
Wittgenstien's Nephew: A Friendship,Thomas Bernhard,Fiction,"Thomas Bernhard (1931-1989) has been hailed by Gabriel Josipovici as 'Austria's finest postwar writer' and by George Steiner as 'one of the masters of contemporary European fiction.' Faber Finds is proud to reissue a selection of four of Bernhard's finest novels. Wittgenstein's Nephew (1982) opens in 1967 as two men lie bedridden in separate wings of a Viennese hospital. The narrator, Thomas Bernhard, is stricken with a lung ailment; his friend Paul, nephew of Ludwig Wittgenstein, is suffering from one of his periodic bouts of madness. As their once-casual friendship quickens, these eccentric men begin to see in each other a possible antidote to their feelings of hopelessness and mortality, on the unexpected strength of what they hold in common. 'Furious, obsessive, scathing, absolutely hilarious and oddly beautiful.' Claire Messud, Salon 'A memento mori that approaches genius.' Richard Locke, Wall Street Journal",en,108,,,Faber & Faber,2013-01-15
A Pale View of Hills,Kazuo Ishiguro,Fiction,"Después del suicidio de su hija mayor, Etsuko, una japonesa de cincuenta años instalada en Inglaterra, rememora momentos de su vida. Quizá la explicación de esta tragedia familiar se encuentre agazapada en aquel Japón de los años cincuenta que se recuperaba de las heridas de la guerra y del traumatismo de la bomba atómica... En la memoria de Etsuko aparece de forma obsesiva, recurrente la imagen de otra mujer, Sachiko, una amiga y vecina que vivía sola con su hija Mariko. Dos personajes enigmáticos, a cuál más inquietante. La pequeña Mariko parece haber vivido una cruel y dolorosa experiencia, que reduce a la nada, tanto para ella como para su madre, la esperanza de una vida tranquila, lejos de las ataduras de la rígida tradición japonesa. La relación ambigua de Etsuko con Sachiko y Mariko está en el centro del enigma del libro. ¿El examen del pasado conseguirá exorcizar los demonios del presente?",es,140,,,Anagrama,1988-03-01
Schindler's Ark,Thomas Keneally,Fiction,"QUIEN SALVA LA VIDA DE OTRA PERSONA SALVA AL MUNDO ENTERO. Él era Oskar Schindler. Un empresario alemán, miembro del partido nazi, que, con osadía e ingenio, se convirtió en un héroe en medio del horror de la Segunda Guerra Mundial. En este gran hito de la literatura sobre el Holocausto, Thomas Keneally recrea magistralmente sus peligrosas proezas y cómo utilizó su fortuna para comprar una fábrica cerca de un campo de concentración y así salvar la vida de más de 1 300 judíos. «Una asombrosa historia… en este caso la verdad es mucho más poderosa que cualquier producto de la imaginación.» Newsweek «Un relato extraordinario.» The New York Review of Books «Una magnífica narración sobre la grandeza del alma humana.» Los Angeles Times Book Review ENGLISH DESCRIPTION The acclaimed bestselling classic of Holocaust literature, winner of the Booker Prize and the Los Angeles Times Book Award for Fiction, and the inspiration for the classic film—“a masterful account of the growth of the human soul” (Los Angeles Times Book Review). A stunning novel based on the true story of how German war profiteer and factory director Oskar Schindler came to save more Jews from the gas chambers than any other single person during World War II. In this milestone of Holocaust literature, Thomas Keneally, author of Daughter of Mars, uses the actual testimony of the Schindlerjuden—Schindler’s Jews—to brilliantly portray the courage and cunning of a good man in the midst of unspeakable evil.",es,0,,,National Geographic Books,2021-02-23
The House of the Spirits,Isabel Allende,Fiction,"La primera novela de Isabel Allende, La casa de los espíritus narra la saga de una poderosa familia de terratenientes latinoamericanos. El despótico patriarca Esteban Trueba ha construido con mano de hierro un imperio privado que empieza a tambalearse con el paso del tiempo y un entorno social explosivo. Finalmente, la decadencia personal del patriarca arrastrará a los Trueba a una dolorosa desintegración. Atrapados en unas dramáticas relaciones familiares, los personajes de esta poderosa novela encarnan las tensiones sociales y espirituales de una época que abarca gran parte del siglo XX. Con impecable pulso narrativo y gran lucidez histórica, Isabel Allende ha creado un fresco en el que conviven lo cotidiano con lo maravilloso, el amor con la revolución y los ideales personales con la dura realidad política. La crítica ha dicho: «Un logro único, a la vez testimonio personal y posible alegoría del pasado, el presente y el futuro de América Latina.» The New York Times Book Review «Una crónica fuerte y absorbente de una familia chilena, con detalles opulentos y con un trasfondo místico... Un refinada combinación de escenarios.» Kirkus Review «Hay muy pocos viajes más emocionantes que los realizados en la imaginación de una novelista genial. Esa experiencia está disponible en La Casa de los Espíritus de Isabel Allende...» Cosmopolitan «La escritura de Allende es tan creativa, divertida y convincente que en el proceso de crear una estimulante novela política también ha creado una viva y una cautivante obra de arte. Sus personajes son fascinantemente detallados y humanos.» People «Un cuento seductor, a veces mágico... En su tumultuosa historia de la rebelión y el amor entre tres generaciones, es una alegoría en la que cualquier familia debería ser capaz de reconocer un poco de sí misma.» The Wall Street Journal «Absolutamente sorprendente. En La Casa de los Espíritus, Isabel Allende nos ha demostrado la relación entre el pasado y el presente, la familia y la nación, la ciudad y el país, los valores espirituales y los políticos.» San Francisco Chronicle",es,417,3.5,7,PLAZA & JANÉS,2014-01-03
The Newton Letters,John Banville,Biographers,Een jonge historicus trekt zich terug op het platteland om ongestoord te kunnen werken maar zijn aandacht wordt spoedig in een andere richting getrokken,en,98,,,Harvill Secker,1982
On the Black Hill,Bruce Chatwin,,,es,336,,,El Aleph,2003-01-01
Concrete,Thomas Bernhard,Fiction,"En Hormigón (1982) se dan cita y se entrelazan algunas de los motivos más característicos de Thomas Bernhard (1931-1989), como son la presencia de la música -en este caso encarnada en la figura de Felix Mendelssohn-, la de un trabajo vital acometido mas siempre postergado, las relaciones perversas entre los seres humanos, y la muerte, enmascarada pero omnipresente. Embarcado en un trabajo sobre el compositor alemán, Rudolf, el narrador y protagonista de la novela, rompe con su hermana y escapa a Palma de Mallorca, donde le aguarda su definitiva cita con la soledad y la locura. Traducción de Miguel Sáenz",es,114,,,Alianza Editorial,2024-04-18
The Names,Don DeLillo,Fiction,"«La novela que hizo llegar a Don DeLillo al gran público», Los Angeles Times. James Axton, un analista de riesgo estadounidense que trabaja para una multinacional, recorre el Mediterráneo y Oriente Medio redactando informes acerca de los conflictos políticos y económicos de la zona. Estamos a finales de la década de 1970. Es la época de la Revolución islámica en Irán, los secuestros terroristas y el petróleo hostil. En una isla del Egeo, Axton tiene noticia de un asesinato que apunta a una extraña secta de culto al lenguaje. Fascinado por esta violencia ritual, se obsesiona en encontrar una explicación. Su búsqueda nos lleva hasta los límites del lenguaje y la cultura, en un rompecabezas cuya solución se encuentra en las palabras.",es,371,,,Grupo Planeta Spain,2011-11-17
Rabbit is Rich,John Updike,Fiction,"It's 1979 and Rabbit is no longer running. He's walking, and beginning to get out of breath. That's OK, though - it gives him the chance to enjoy the wealth that comes with middle age. It's all in place: he's Chief Sales Representative and co-owner of Springer motors; his wife, at home or in the club, is keeping trim; he wears good suits, and the cash is pouring in. So why is it that he finds it so hard to accept the way that things have turned out? And why, when he looks at his family, is he haunted by regrets about all those lives he'll never live?",en,578,,,Penguin UK,2006-06-01
Lanark: A Life in 4 Books,Alasdair Gray,Literary Criticism,,en,620,,,,1990-04
The Comfort of Strangers,Ian McEwan,Fiction,"Rediscover the classic novel of love, violence and obsessions from Booker prize-winning Sunday Times bestselling author Ian McEwan. Colin and Mary are a couple whose intimacy knows no bounds. Away on a holiday together in a nameless city, they get lost one evening in a labyrinth of streets and canals. They happen upon Robert, a stranger with a dark history, who takes them to a bar and ushers them down into a subterranean land of violence and obsession. ‘Haunting and compelling’ The Times ‘No reader will begin The Comfort of Strangers and fail to finish it; a black magician is at work’ New York Times",en,180,,,Random House,2010-03-11
July's People,Nadine Gordimer,Literary Criticism,"Nadine Gordimer is one of the most important writers to emerge in the twentieth century. Her anti-Apartheid novel July's People (1981) is a powerful example of resistance writing and continues even now to unsettle easy assumptions about issues of power, race, gender and identity. This guide to Gordimer's compelling novel offers: an accessible introduction to the text and contexts of July's People a critical history, surveying the many interpretations of the text from publication to the present a selection of new and reprinted critical essays on July's People, providing a range of perspectives on the novel and extending the coverage of key approaches identified in the critical survey cross-references between sections of the guide, in order to suggest links between texts, contexts and criticism suggestions for further reading. Part of the Routledge Guides to Literature series, this volume is essential reading for all those beginning detailed study of July's People and seeking not only a guide to the novel, but a way through the wealth of contextual and critical material that surrounds Gordimer's text.",en,243,,,Routledge,2013-11-12
Summer in Baden-Baden,Lenod Tsypkin,Fiction,"Join Dostoevsky on his tumultuous honeymoon in this hypnotic cult classic , introduced by Susan Sontag. 'A wonderful work of art.' Jon McGregor 'Extraordinary in its confidence and enchantment.' Chris Power 'Addictive, dreamlike and dazzlingly unique.' Adam Thirlwell 'Luminous, melancholy and enraptured.' Chloe Aridjis Why was I reading this book now , in a railway-carriage, beneath a wavering, flickering, electric light-bulb . . Summer, 1867: The newlywed Dostoevsky and his young wife Anna - his one-time secretary - are travelling to the German spa resort of Baden-Baden on honeymoon. Their love is ecstatic, yet the author is plagued by demons: haunted by his crimes and punishments, consumed by fevers of jealousy, gambling to avoid mounting debts and shaken by epileptic fits. Winter, 1970s: Our Jewish narrator embarks on a pilgrimage from Moscow to Leningrad to trace the footsteps of his literary hero. As the train travels across the Soviet Union's bleak expanses, he immerses himself in Anna's travel journal: and their journeys - past and present, real and imagined - soon become entwined. The result of a clandestine literary vocation, Summer in Baden-Baden was smuggled out of the Soviet Union in 1981 and first published in a Russian émigré weekly in the USA. It has since been hailed as a trailblazing modern classic, translated into more than twenty languages - and its hypnotic, enigmatic power only grows.",en,225,,,Faber & Faber,2024-06-04
Broken April,Ismail Kadare,Fiction,"From the moment that Gjorg's brother is killed by a neighbour, his own life is forfeit. The code of Kanun requires Gjorg to kill his brother's murderer and then in turn be hunted down. After shooting his brother's killer, young Gjorg is entitled to thirty days' grace - not enough to see out the month of April. Then a visiting honeymoon couple cross the path of the fugitive. The bride's heart goes out to Gjorg, and even these 'civilised' strangers from the city risk becoming embroiled in the fatal mechanism of vendetta. 'One of the most remarkable European novelists of the twentieth century' Independent",en,228,,,Random House,2010-12-23
Waiting for the Barbarians,J. M. Coetzee,Fiction,"Esperando a los bárbaros es una novela de clara intención moral: una parábola de una Sudáfrica desquiciada por el racismo, una denuncia de la brutalidad y de la arrogante ignorancia del poder. Por el Premio Nobel de Literatura J.M. Coetzee. Un día el Imperio decidió que los bárbaros eran una amenaza para su integridad. Primero llegaron al pueblo fronterizo policías, que detuvieron sobre todo a quienes no eran bárbaros pero sí diferentes. Torturaron y asesinaron. Después llegaron los militares. Muchos. Preparados para realizar heroicas campañas militares. El viejo magistrado del lugar trató de hacerles ver con sensatez que los bárbaros habían estado desde siempre allí y nunca habían sido un peligro, que eran nómadas y no se les podía vencer en batallas campales, que las opiniones que tenían sobre ellos eran absurdas... Vano intento. El magistrado solo logró la prisión y el pueblo, que había aclamado a los militares cuando llegaron, su ruina.",es,213,,,DEBOLS!LLO,2016-12-05
Midnight's Children,Salman Rushdie,Fiction,"*German Booksellers' Peace Prize 2023* El mejor premio Booker de toda la historia. Una asombrosa novela que combina magistralmente magia y humor, compromiso político, fantasía y humanidad. Esta es la historia de Saleem Sinai, nacido en Bombay al filo de la medianoche del 15 de agosto de 1947, en el momento mismo en que la India, entre fuegos artificiales y multitudes, alcanza su independencia. El destino de Saleem queda inexorablemente unido al de su país, y sus peripecias personales reflejarán siempre la evolución política de la India o serán reflejadas por ella. Hijos de la medianoche es una asombrosa novela que combina magistralmente magia y humor, compromiso político, fantasía y humanidad. La crítica ha dicho... «Una de las grandes novelas del siglo.» ABC «Salman Rushdie se ha ganado el derecho de ser designado uno de nuestros mayores narradores.» The Observer « Hijos de la medianoche vuelve a trazar el mapa literario de la India. Suena como un país encontrando su voz propia.» The New York Times",es,542,4,1,DEBOLS!LLO,2011-03-11
Rites of Passage,William Golding,Fiction,"Novela de marcado carácter satírico, "" Los hombres de papel "" gira en torno a las peripecias de un famoso novelista inglés que sufre el asedio de un joven profesor norteamericano empecinado en convertirse en su biógrafo. Este simple andamiaje sirve a William Golding, autor que hizo de su obra una prolongada indagación en las luces y las sombras de la naturaleza humana, para explorar el proceso de la creación literaria, la vida académica y la obtención de la fama junto con contrapartidas más oscuras, como la decepción vital, el deterioro físico y la desintegración moral que a veces puede traer consigo la vejez. Otras obras de William Golding en esta colección: "" El Señor de las Moscas "" , "" Ritos de paso "" , "" Cuerpo a cuerpo "" , "" Fuego en las entrañas "" y "" El dios escorpión "" .",es,256,,,Alianza Editorial Sa,2011-07
Rituals,Cees Nooteboom,Travel,"«Nooteboom no escribe con la sabiduría amarga de la retrospección, sino con la tristeza indagadora de sus contemporáneos». Literatur Spiegel «Un diario de la observación y el pensamiento cargado de ideas profundas y de un rigor lingüístico brillante». Die Zeit Un hombre y su isla. En su amada casa de Menorca, donde Cees Nooteboom pasa largas temporadas cada año, tiene los pies firmes sobre una tierra fértil, rodeado del mar, las palmeras y los cactus. Pero su mirada, atenta y curiosa, se extiende más allá del horizonte. Con escepticismo, Nooteboom contempla una Europa que amenaza con desintegrarse, observa las estrellas; también medita sobre el olvido, sobre la identidad de David Bowie y la obsesión de Gombrowicz con la inmadurez. Un compendio de quinientos treinta y tres días de reflexiones, tan diversas como interesantes, de uno de los escritores más lúcidos, cosmopolitas y reconocidos de nuestro tiempo.",es,227,,,Siruela,2023-07-05
A Confederacy of Dunces,John Kennedy Toole,,,es,279,,,,1981
City Primeval: High Noon in Detroit,Elmore Leonard,Fiction,,es,342,,,,1998
The Name of the Rose,Umberto Eco,Fiction,"La novela emblemática de Umberto Eco. Una trama apasionante. Una admirable reconstrucción del conflictivo siglo XIV «Umberto Eco cambió nuestra mirada sobre los libros: imprescindibles, pequeños, frágiles, a veces criminales, casi siempre salvadores. Un maestro que nos enseñó a entrelazar la sabiduría y el juego con su estilo sagaz y lúdico, con su asombrosa inventiva y certera lucidez.» Irene Vallejo UNO DE LOS 100 TÍTULOS FUNDAMENTALES DEL SIGLO XX SEGÚN LE MONDE Valiéndose de las características de la novela gótica, la crónica medieval y la novela policíaca, El nombre de la rosa narra las investigaciones detectivescas que realiza el fraile franciscano Guillermo de Baskerville para esclarecer los crímenes cometidos en una abadía benedictina en el año 1327. Le ayudará en su labor el novicio Adso, un joven que se enfrenta por primera vez a las realidades de la vida situadas más allá de las puertas del convento. En esta primera y brillante incursión de Umberto Eco en el mundo de la narrativa, que dio lugar a una manera de concebir la novela histórica, el lector disfrutará de una trama apasionante y una admirable reconstrucción de una época especialmente conflictiva de la historia de Occidente. La crítica ha dicho: «Una lectura obligada, incluso si no estás completamente seguro de entenderlo del todo, o si ni siquiera estás seguro de que sea posible entenderlo del todo». Jorge Coscarón, Esquire «Una genialidad absoluta porque no solo entretiene, también culturiza y te asoma al infinito universo de los secretos de los libros». Javier Sierra, La Sexta «Una de las mejores definiciones que puedan encontrarse de novela histórica. Zambúllanse [...] en esta gran novela, y disfrútenla. Vale la pena». Agustí Fancelli, El País «El thriller histórico más influyente de la historia de la literatura. [...] El nombre de la rosa no solo habla del pasado, sino también del presente. Eco, con su habitual gusto por los juegos metalingüísticos, se ""introduce"" en la novela como el receptor de la misma, como si hubiera encontrado el manuscrito original del siglo XIV y simplemente lo hubiera traducido». Carlos Joric, La Vanguardia «Eco tuvo el humor de mostrar a sus lectores que los intelectuales pueden verse enredados en las mismas situaciones banales, prosaicas y engorrosas que el resto de los mortales: [...] un ejército de crítica social y rebelión personal». El Diario Montañés - Sotileza «Aquí hay misterios turbadores, personajes vívidos, un retrato logrado de una época fascinante, humor sutil, sucesos inesperados y una prosa ágil que puede adaptarse a los registros de la fe, la duda, el horror, el éxtasis amoroso y la desolación». David Lodge «Eco proporcionó una nueva forma de leer no sólo sus novelas sino también de leer e interpretar la realidad que nos rodea y que nos influye. Ofrecía la posibilidad de buscar nuevos ángulos en los rincones de los textos. Eco invitaba a dejar atrás cualquier prejuicio en la búsqueda de respuestas, que no nos dejásemos llevar por aquello que creemos que sabemos, sino dejarse llevar por la inmensa fuerza del descubrimiento». Martí Gironell, El Mundo «El libro más inteligente, pero también más divertido, de los últimos años». Lars Gustafsson, Der Spiegel «Brío e ironía. Eco ha aprendido de los mejores modelos». Richard Ellmann, The New York Review of Books «Un libro que se lee de un tirón, cautivante, cómico, inesperado...». Mario Fusco, Le Monde",es,653,4.5,10,LUMEN,2010-11-12
The Book of Laughing and Forgetting,Milan Kundera,Fiction,"'A masterpiece' (Salman Rushdie) by the author of modern classic The Unbearable Lightness of Being. 'It took the temperature of the age as no other book did. It was the great novel of the end of European Communism: a novel of ideas and eroticism, the surreal and the naturalistic.' Howard Jacobson 'One is torn between profound pleasure in the novel's execution and wonder at the pain that inspired it.' Ian McEwan One freezing day in 1948, Klement Gottwald addresses Prague, wearing his comrade Clementis' fur cap - and Communist Czechoslovakia is born. But after being hanged for treason, Clementis is airbrushed out of propaganda photographs. All that remains is a bare wall, and his cap. So begins an unforgettable voyage through seven narratives, interspersed with luminous meditations on politics, philosophy, music and history. A dissident seeks his first lover - now a Party loyalist - to persuade her to return his romantic letters. A married couple manages their ménage-à-trois as Mother moves in. A clandestine horoscope writer is questioned. An émigré widow struggles to reconstruct memories of her late husband, before finding herself on an island of children. A butcher's wife embarks on an affair with a poetic student. And one man prepares to cross the border . . . What readers are saying: 'Kundera embrace politics, sex, philosophy and history, with a seen-it-all cynicism that nevertheless manages to be fascinating and even uplifting ... It was addictive and fun, sexy and cool, easy to read, and made me feel brighter, switched on, and more alive.' 'You must read this novel. Can't tell you about it, you just have to do it yourself. Its bonkers-brilliant! Phantasmagoric originality like this comes very seldom in a reader's so-sweet life.' 'Kundera's unique writing style comes as a revelation ... This holds a special place in my reading history as the one book that I instantly began re-reading as soon as I finished it.' 'Absolutely enchanted me. It's such an unique novel. It speaks of so many things, from communism and regimes to love and art. For me personally, it is a perfect book.' 'I am not going to spoil the story here, but while the story is not supernatural in any way, it takes on a fantastical flavor, full of mysteries and strange emotions ... It is obvious that Kundera has thought a lot about life, about the meaning of life, and lets the reader in on his secrets.' 'Such a unique writer, Kundera! What a way he has to shine the brightest light on the deepest corners of human psyche.'",en,263,,,Faber & Faber,2020-11-09
Smiley's People,John le Carre,Fiction,"The classic Cold War novel. Into a shadowy, violent and intricate world steeped in moral ambivalences steps George Smiley – tubby, perceptive and morally perplexed as ever – sometime acting Chief of the Circus, as the Secret Service is known. A Russian émigré woman is accosted in Paris in broad daylight by a Soviet intelligence officer. A scared Estonian boy plays courier in Hamburg. In London at the dead of night, George Smiley is summoned from his lonely bed by news of the murder of an ex-agent. His brief is to bury the crime, not solve it. His dilemma is the number of ghosts from the past who clamour to him from the shadows. Through scenes of mounting revelation, and a cast of superbly drawn characters, through Switzerland, Hamburg, Paris and the fens of Schleswig-Holstein, le Carré rallies us irresistibly to the chase, till we find ourselves at Smiley’s very side on the Berlin border, where Smiley’s people – the ‘no-men of no-man’s land’ – conduct their grimy commerce.",en,482,,,Hachette UK,2008-10-16
Shikasta,Doris Lessing,"Body, Mind & Spirit",,en,520,,,Minotauro Ediciones Avd,2003
A Bend in the River,V. S. Naipaul,Fiction,"Ambientada en el convulso periodo de la independencia de un país africano, Un recodo en el río es una novela sobre los efectos de la política en las vidas de los individuos y los esfuerzos de estos por cumplir sus sueños. Por el Premio Nobel de Literatura V.S. Naipaul. Salim es el descendiente de una próspera familia de comerciantes de origen indio ansioso por romper con la tradición. Para escapar de su vida en la costa, decide comprar una tienda y mudarse al interior de África, a una ciudad asentada en «un recodo en el río». Poco después le sigue Metty, un esclavo de su familia. Su vida transcurre tranquilamente hasta que, con el ascenso del Gran Hombre al poder, el antiguo orden social se deshace. Salim, que creía ser diferente, ahora se siente marginado y envidia la fulgurante carrera de Ferdinard, un muchacho negro del que tiempo atrás había sido mentor. Por su parte, Metty adquiere una idea muy diferente de su valía, mientras que Indar, el amigo rico y cosmopolita de Salim, a pesar de su exquisita cultura, se siente desarraigado y completamente innecesario en el nuevo país. Reseñas: «Naipaul demuestra aquí su espíritu tolstoiano.» John Updike «Una novela espléndida, quizá la mejor de todas las que ha escrito... pues difícilmente habrá un escritor vivo que lo aventaje en tan pura y cabal abundancia de talento.» New York Times Book Review",es,370,,,DEBOLS!LLO,2016-11-25
Burger's Daughter,Nadine Gordimer,Fiction,"""A riveting history of South Africa and a penetrating portrait of a courageous woman."" -- The New Yorker A must read fiction of South Africa from the winner of the Nobel Prize in Literature This is the moving story of the unforgettable Rosa Burger, a young woman from South Africa cast in the mold of a revolutionary tradition. Rosa tries to uphold her heritage handed on by martyred parents while still carving out a sense of self. Although it is wholly of today, Burger's Daughter can be compared to those 19th century Russian classics that make a certain time and place come alive, and yet stand as universal celebrations of the human spirit. Nadine Gordimer, winner of the 1991 Nobel Prize in Literature, was born and lives in South Africa.",en,369,,,Penguin,1980-11-20
The Safety Net,Heinrich Boll,Fiction,,en,332,,,Northwestern University Press,1995
