title,author
Quo Vadis,Henryk Sienkiewicz
The Island of Dr. Moreau,H. G. Wells
The Time Machine,H. G. Wells
Effi Briest,Theodor Fontane
Jude the Obscure,Thomas Hardy
The Real Charlotte,Edith Somerville
The Yellow Wallpaper,Charlotte Perkins Gilman
Born in Exile,George Gissing
Diary of a Nobody,George Grossmith
The Adventures of Sherlock Holmes,Sir Arthur Conan Doyle
News from Nowhere,William Morris
New Grub Street,George Gissing
Gosta Berling's Saga,Selma Lagerlof
Tess of the D' Urbervilles,Thomas Hardy
The Picture of Dorian Gray,Oscar Wilde
The Kreutzer Sonata,Leo Tolstoy
La Bete Humaine,Emile Zola
by the Open Sea,August Strindberg
Hunger,Knut Hamsun
The Master of Ballantrae,Robert Louis Stevenson
Pierre et Jean,Guy de Maupassant
Fortunata y Jacinta,Benito Perez Galdos
People of Hemso,August Strindberg
The Woodlanders,Thomas Hardy
She,H. Rider Haggard
Dr. Jekyll & Mr. Hyde,Robert Louis Stevenson
The Mayor of Casterbridge,Thomas Hardy
Kidnapped,Robert Louis Stevenson
King Solomon's Mines,H. Rider Haggard
Germinal,Emile Zola
The Adventures of Huckleberry Finn,Mark Twain
Bel Ami,Guy de Maupassant
Marius the Epicurean,Walter Pater
Against the Grain,Joris-Karl Huysmans
The Death of Ivan Ilyich,Leo Tolstoy
A Woman's Life,Guy de Maupassant
Treasure Island,Robert Louis Stevenson
The House by the Medlar Tree,Giovanni Verga
The Portrait of a Lady,Henry James
Bouvard and Pecuchet,Gustave Flaubert
Ben-Hur,Lew Wallace
Nana,Emile Zola
The Brothers Karamazov,Fyodor Dostoevsky
The Red Room,August Strindberg
The Return of the Native,Thomas Hardy
Anna Karenina,Leo Tolstoy
Drunkard,Emile Zola
Virgin Soil,Ivan Turgenev
Daniel Deronda,George Eliot
The Hand of Ethelberta,Thomas Hardy
The Temptation of Saint Anthony,Gustave Flaubert
Far from the Madding Crowd,Thomas Hardy
The Enchanted Wanderer,Nikolai Leskov
Around the World in Eighty Days,Jules Verne
In a Glass Darkly,Sheridan Le Fanu
The Possessed – The Devils,Fyodor Dostoevsky
Erewhon,Samuel Butler
Spring Torrents,Ivan Turgenev
Middlemarch,George Eliot
Through the Looking-Glass,Lewis Carroll
A Lear of the Steppes,Ivan Turgenev
He Knew He Was Right,Anthony Trollope
War and Peace,Leo Tolstoy
A Sentimental Education,Gustave Flaubert
Phineas Finn,Anthony Trollope
Maldoror,Comtede Lautreamont
The Idiot,Fyodor Dostoevsky
The Moonstone,Wilkie Collins
Little Women,Louisa May Alcott
Therese Raquin,Emile Zola
The Last Chronicle of Barset,Anthony Trollope
Journey to the Center of the Earth,Jules Verne
Crime and Punishment,Fyodor Dostoevsky
Alice in Wonderland,Lewis Carroll
Our Mutual Friend,Charles Dickens
Uncle Silas,Joseph Sheridan Le Fanu
Notes from Underground,Fyodor Dostoevsky
The Water-Babies,Charles Kingsley
Les Misérables,Victor Hugo
Fathers and Sons,Ivan Turgenev
Silas Marner,George Eliot
Great Expectations,Charles Dickens
One the Eve,Ivan Turgenev
Castle Richmond,Anthony Trollope
The Mill on the Floss,George Eliot
The Woman in White,Wilkie Collins
The Marble Faun,Nathaniel Hawthorne
Max Havelaar,Multatuli
A Tale of Two Cities,Charles Dickens
Oblomov,Ivan Goncharov
Adam Bede,George Eliot
Madame Bovary,Gustave Flaubert
North and South,Elizabeth Gaskell
Hard Times,Charles Dickens
Walden,Henry David Thoreau
Bleak House,Charles Dickens
Villete,Charlotte Bronte
Cranford,Elizabeth Gaskell
Uncle Tom's Cabin,Harriet Beecher Stowe
The Blithedale Romance,Nathaniel Hawthorne
The House of the Seven Gables,Nathaniel Hawthorne
Mo by Dick,Herman Melville
The Scarlet Letter,Nathaniel Hawthorne
David Copperfield,Charles Dickens
Shirley,Charlotte Bronte
Mary Barton,Elizabeth Gaskell
The Tenant of Wildfell Hall,Ann Bronte
Wuthering Heights,Emily Bronte
Agnes Grey,Ann Bronte
Jane Eyre,Charlotte Bronte
Vanity Fair,William Makepeace Thackery
The Count of Monte Cristo,Alexandre Dumas
La Reine Margot,Alexandre Dumas
The Three Musketeers,Alexandre Dumas
The Purloined Letter,Edgar Allan Poe
Martin Chuzzlewit,Charles Dickens
The Pit and the Pendulum,Edgar Allan Poe
Lost Illusions,Honoré de Balzac
A Christmas Carol,Charles Dickens
Dead Souls,Nikolai Gogol
The Charterhouse of Parma,Stendhal
The Fall of the House of Usher,Edgar Allan Poe
The Life and Adventures of Nicholas Nickle by,Charles Dickens
Oliver Twist,Charles Dickens
The Nose,Nikolai Gogol
Le Pere Goriot,Honoré de Balzac
Eugénie Grandet,Honoré de Balzac
The Hunchback of Notre Dame,Victor Hugo
The Red and the Black,Stendhal
The Betrothed,Alessandro Manzoni
The Last of the Mohicans,James Fenimore Cooper
The Private Memoirs and Confessions of a Justified Sinner,James Hogg
The Albigenses,Charles Robert Maturin
Melmoth the Wanderer,Charles Robert Maturin
The Monastery,Sir Walter Scott
Ivanhoe,Sir Walter Scott
Frankenstein,Mary Shelley
Northanger Abbey,Jane Austen
Persuasion,Jane Austen
Ormond,Maria Edgeworth
Rob Roy,Sir Walter Scott
Emma,Jane Austen
Mansfield Park,Jane Austen
Pride and Prejudice,Jane Austen
The Absentee,Maria Edgeworth
Sense and Sensibility,Jane Austen
Elective Affinities,Johan Wolfgang von Goethe
Castle Rackrent,Maria Edgeworth
Hyperion,Friedrich Holderlin
The Nun,Denis Diderot
Camilla,Fanny Burney
The Monk,M. G. Lewis
Wilhelm Meister's Apprenticeship,Johan Wolfgang von Goethe
The Mysteries of Udolpho,Ann Radcliffe
The Interesting Narrative of the Life of Olaudah Equiano,Olaudah Equiano
Caleb Williams,William Godwin
Justine,Marquis de Sade
Vathek,William Beckford
The 120 Days of Sodom,Marquis de Sade
"Cecilia, or Memoirs of An Heiress",Fanny Burney
Confessions,Jean-Jacques Rousseau
Dangerous Liaisons,Pierre Choderlos de Laclos
Reveries of the Solitary Walker,Jean-Jacques Rousseau
Evelina,Fanny Burney
The Sorrows of Young Werther,Johann Wolfgang von Goethe
Humphrey Clinker,Tobias George Smollett
The Man of FeelingHenry MacKenzie,
A Sentimental Journey,Laurence Sterne
Tristram Shandy,Luarence Sterne
The Vicar of Wakefield,Oliver Goldsmith
The Castle of Otranto,Horace Walpole
Emile,Jean-Jacques Rousseau
Rameau's Nephew,Denis Diderot
"Julie, or the New Eloise",Jean-Jacques Rousseau
"The History of Rasselas, Prince of Abissinia",Samuel Johnson
Candide,Francois Voltaire
The Female Quixote,Charlotte Lennox
Amelia,Henry Fielding
The Adventures of Peregrine Pickle,Tobias George Smollett
Fanny Hill,John Cleland
Tom Jones,Henry Fielding
The Adventures of Roderick Random,Tobias George Smollett
Clarissa,Samuel Richardson
Jacqui the Fatalist,Denis Diderot
Pamela,Samuel Richardson
Memoirs of Martinus Scriblerus,Alexander Pope
Joseph Andrews,Henry Fielding
A Modest Proposal,Jonathan Swift
Gulliver's Travels,Jonathan Swift
Roxana,Daniel Defoe
Moll Flanders,Daniel Defoe
Love in Excess,Eliza Haywood
Robinson Crusoe,Daniel Defoe
A Tale of a Tub,Jonathan Swift
"Oroonoko, or the Royal Slave",Apra Behn
The Princess of Cleves,Madame de Lafayette
The Pilgrim's Progress,John Bunyan
Don Quixote,Miguel de Cervantes
The Unfortunate Traveller,Thomas Nashe
Euphues: The Anatomy of Wit,John Lyly
Gargantua and Pantagruel,Francois Rabelais
The Thousand and One Nights,Anonymous
The Golden Ass,Apuleius
Heliodorus: An Ethiopian Romance,Heliodorus
Chaerras and Callirhoe,Chariton
The Metamorphoses,Ovid
Aesop's Fables,Aesop
